date,seoul,korea
5/31/23,5987,24411
5/30/23,3326,13529
5/29/23,1393,6868
5/28/23,1393,6868
5/27/23,4078,17796
5/26/23,4217,17933
5/25/23,4435,19080
5/24/23,5312,22961
5/23/23,5362,21385
5/22/23,1271,6798
5/21/23,4196,16808
5/20/23,4371,18106
5/19/23,4634,19586
5/18/23,5061,21797
5/17/23,6050,26147
5/16/23,6198,23680
5/15/23,1429,7178
5/14/23,4194,17403
5/13/23,4574,19352
5/12/23,5129,19989
5/11/23,4856,20574
5/10/23,5621,23521
5/9/23,5745,21681
5/8/23,1642,8164
5/7/23,3763,14742
5/6/23,2385,11801
5/5/23,4650,18752
5/4/23,4927,20146
5/3/23,5137,20197
5/2/23,3963,15741
5/1/23,1112,5774
4/30/23,3342,13614
4/29/23,3663,14812
4/28/23,3596,13791
4/27/23,3724,14284
4/26/23,4217,16383
4/25/23,4147,14817
4/24/23,1021,5027
4/23/23,2963,11834
4/22/23,3531,13765
4/21/23,3482,13596
4/20/23,3684,14094
4/19/23,4253,16508
4/18/23,4373,15173
4/17/23,1057,4946
4/16/23,2604,10188
4/15/23,2921,11682
4/14/23,3011,11651
4/13/23,2817,11596
4/12/23,3498,13926
4/11/23,3488,12444
4/10/23,828,4005
4/9/23,2285,9553
4/8/23,2589,10372
4/7/23,2667,10735
4/6/23,2887,12072
4/5/23,3353,14465
4/4/23,3588,13375
4/3/23,842,4349
4/2/23,2401,10523
4/1/23,2523,10523
3/31/23,2482,10368
3/30/23,2735,11039
3/29/23,2971,13134
3/28/23,3116,12129
3/27/23,773,4204
3/26/23,,
3/25/23,2268,10448
3/24/23,2193,10283
3/23/23,2467,11400
3/22/23,2723,13081
3/21/23,2842,12016
3/20/23,689,3930
3/19/23,1870,8807
3/18/23,1927,9259
3/17/23,1988,9065
3/16/23,1979,9923
3/15/23,2312,11899
3/14/23,2398,11401
3/13/23,690,4198
3/12/23,1829,9342
3/11/23,1978,10009
3/10/23,2170,10335
3/9/23,2131,10890
3/8/23,2447,12798
3/7/23,2748,12284
3/6/23,734,4300
3/5/23,2008,11246
3/4/23,2214,11246
3/3/23,2296,10408
3/2/23,1200,7561
3/1/23,2301,12291
2/28/23,2326,10817
2/27/23,623,4026
2/26/23,1767,10055
2/25/23,1922,10055
2/24/23,1959,10051
2/23/23,2116,10845
2/22/23,2354,13082
2/21/23,2503,11880
2/20/23,704,4324
2/19/23,1906,10274
2/18/23,1980,10718
2/17/23,2097,11436
2/16/23,2282,12519
2/15/23,2570,14957
2/14/23,2703,14371
2/13/23,746,5174
2/12/23,2126,12051
2/11/23,2292,12805
2/10/23,2370,13504
2/9/23,2460,14664
2/8/23,2904,17934
2/7/23,3046,16120
2/6/23,815,5850
2/5/23,2299,14018
2/4/23,2440,14624
2/3/23,2551,14961
2/2/23,2884,16862
2/1/23,3276,20420
1/31/23,3696,19629
1/30/23,922,7416
1/29/23,2924,18871
1/28/23,4065,23612
1/27/23,5081,31711
1/26/23,6815,35096
1/25/23,3187,19538
1/24/23,2127,12262
1/23/23,1439,9227
1/22/23,2315,16624
1/21/23,5161,27569
1/20/23,5016,27408
1/19/23,5501,29816
1/18/23,6637,36908
1/17/23,8550,33014
1/16/23,2139,14144
1/15/23,5749,32570
1/14/23,6649,36699
1/13/23,7203,39726
1/12/23,7948,43953
1/11/23,9534,54343
1/10/23,12140,60041
1/9/23,2850,19106
1/8/23,7824,46766
1/7/23,9925,53807
1/6/23,10411,56954
1/5/23,11510,64106
1/4/23,13915,78575
1/3/23,16966,81056
1/2/23,3304,22735
1/1/23,9990,57527
12/31/22,11601,63104
12/30/22,11668,65207
12/29/22,13396,71427
12/28/22,15783,87517
12/27/22,18725,87596
12/26/22,3585,25478
12/25/22,10508,58448
12/24/22,12083,66211
12/23/22,12414,68168
12/22/22,13946,75744
12/21/22,15564,88172
12/20/22,18223,87559
12/19/22,4191,26622
12/18/22,10649,58862
12/17/22,12404,66930
12/16/22,12402,66953
12/15/22,12830,70154
12/14/22,15180,84571
12/13/22,17696,86852
12/12/22,3910,25667
12/11/22,9603,54319
12/10/22,11690,62738
12/9/22,11853,62734
12/8/22,11977,65253
12/7/22,13747,74714
12/6/22,16372,77604
12/5/22,3921,23160
12/4/22,8526,46564
12/3/22,10369,52861
12/2/22,10487,52987
12/1/22,11034,57079
11/30/22,12290,67415
11/29/22,15501,71476
11/28/22,3794,22327
11/27/22,9160,47028
11/26/22,10161,52788
11/25/22,10684,53698
11/24/22,11456,59089
11/23/22,13499,70324
11/22/22,15613,72873
11/21/22,3826,23091
11/20/22,8804,46011
11/19/22,10124,50589
11/18/22,9742,49418
11/17/22,10846,55437
11/16/22,12483,66587
11/15/22,15539,72883
11/14/22,3649,23765
11/13/22,9263,48465
11/12/22,10836,54328
11/11/22,10903,54519
11/10/22,11073,55365
11/9/22,12481,62472
11/8/22,14158,62273
11/7/22,3320,18671
11/6/22,7163,36675
11/5/22,8104,40903
11/4/22,8677,43449
11/3/22,9547,46896
11/2/22,10940,54766
11/1/22,13017,58379
10/31/22,3099,18510
10/30/22,6708,34511
10/29/22,7578,37321
10/28/22,7480,35924
10/27/22,6848,34987
10/26/22,7906,40842
10/25/22,10066,43759
10/24/22,2438,14302
10/23/22,5176,26256
10/22/22,6016,26906
10/21/22,5061,24751
10/20/22,5416,25431
10/19/22,5897,29503
10/18/22,7531,33248
10/17/22,1921,11040
10/16/22,4191,21469
10/15/22,4579,22844
